"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"258","0 Muthithi Rd","253","Meru - Nairobi Hwy","1/1/2018 - 1/31/2018, Every day, Daily Average",2458,1730,3491
"258","0 Muthithi Rd","254","Banjui House","1/1/2018 - 1/31/2018, Every day, Daily Average",1926,1147,3232
"258","0 Muthithi Rd","255","Unnamed Road","1/1/2018 - 1/31/2018, Every day, Daily Average",2550,1531,4246
"258","0 Muthithi Rd","256","Meru - Nairobi Hwy","1/1/2018 - 1/31/2018, Every day, Daily Average",404,222,732
"258","0 Muthithi Rd","257","Mukunga","1/1/2018 - 1/31/2018, Every day, Daily Average",615,353,1068
"258","0 Muthithi Rd","258","0 Muthithi Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",535,160,1784
"258","0 Muthithi Rd","259","Unnamed Road","1/1/2018 - 1/31/2018, Every day, Daily Average",2833,1978,4056
"258","0 Muthithi Rd","262","Unnamed Road","1/1/2018 - 1/31/2018, Every day, Daily Average",2843,2019,4002
"258","0 Muthithi Rd","263","Nairobi - Namanga","1/1/2018 - 1/31/2018, Every day, Daily Average",2663,1743,4068
"258","0 Muthithi Rd","264","Gigiri Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1082,688,1699
"258","0 Muthithi Rd","266","Kandara Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",604,325,1121
"258","0 Muthithi Rd","268","Church Road","1/1/2018 - 1/31/2018, Every day, Daily Average",3618,2492,5252
"258","0 Muthithi Rd","269","Magadi Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2392,1470,3892
"258","0 Muthithi Rd","271","GTZ Processional Way","1/1/2018 - 1/31/2018, Every day, Daily Average",498,185,1334
"258","0 Muthithi Rd","272","Miotoni Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2438,1550,3834
"258","0 Muthithi Rd","273","Thigiri Cl","1/1/2018 - 1/31/2018, Every day, Daily Average",1108,683,1796
"258","0 Muthithi Rd","275","Kikenni Ln","1/1/2018 - 1/31/2018, Every day, Daily Average",2491,1704,3640
"258","0 Muthithi Rd","276","Garden Estate Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",832,520,1330
"258","0 Muthithi Rd","277","Johari Ave","1/1/2018 - 1/31/2018, Every day, Daily Average",2239,1318,3801
"258","0 Muthithi Rd","278","Farasi Lane","1/1/2018 - 1/31/2018, Every day, Daily Average",1110,752,1637
"258","0 Muthithi Rd","279","Ngong Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1694,1045,2743
"258","0 Muthithi Rd","280","Ronix Gas Supplies","1/1/2018 - 1/31/2018, Every day, Daily Average",1456,890,2380
"258","0 Muthithi Rd","281","Gatundu Cres","1/1/2018 - 1/31/2018, Every day, Daily Average",866,494,1515
"258","0 Muthithi Rd","282","0 Muthaiga Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",637,361,1121
"258","0 Muthithi Rd","283","Unnamed Road","1/1/2018 - 1/31/2018, Every day, Daily Average",3521,2309,5368
"258","0 Muthithi Rd","284","Foot Path","1/1/2018 - 1/31/2018, Every day, Daily Average",1569,1058,2325
"258","0 Muthithi Rd","285","Garissa Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2934,2185,3939
"258","0 Muthithi Rd","287","City Clock","1/1/2018 - 1/31/2018, Every day, Daily Average",1239,627,2445
"258","0 Muthithi Rd","288","Old Mombasa Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1695,949,3025
"258","0 Muthithi Rd","289","USIU Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1212,817,1797
"258","0 Muthithi Rd","290","Ngong Forest Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2860,1844,4435
"258","0 Muthithi Rd","291","Unnamed Road","1/1/2018 - 1/31/2018, Every day, Daily Average",1772,1002,3132
"258","0 Muthithi Rd","292","Loneview Access Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2085,1258,3454
"258","0 Muthithi Rd","293","Lake View Dr","1/1/2018 - 1/31/2018, Every day, Daily Average",1012,673,1520
"258","0 Muthithi Rd","294","Pofu Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2437,1529,3883
"258","0 Muthithi Rd","295","Mombasa Road","1/1/2018 - 1/31/2018, Every day, Daily Average",2836,1823,4410
"258","0 Muthithi Rd","297","Ndemi Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1452,858,2454
"258","0 Muthithi Rd","298","Unnamed Road","1/1/2018 - 1/31/2018, Every day, Daily Average",1995,1496,2658
"258","0 Muthithi Rd","300","Helena Road","1/1/2018 - 1/31/2018, Every day, Daily Average",2570,1605,4112
"258","0 Muthithi Rd","301","ELSEK ELSEK Nairobi Show House Road","1/1/2018 - 1/31/2018, Every day, Daily Average",2745,1766,4265
"258","0 Muthithi Rd","302","Limuru Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2438,1827,3252
"258","0 Muthithi Rd","303","400 Muhuri Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2124,1367,3299
"258","0 Muthithi Rd","304","Embu - Nairobi Hwy","1/1/2018 - 1/31/2018, Every day, Daily Average",1785,1217,2617
"258","0 Muthithi Rd","305","Amani","1/1/2018 - 1/31/2018, Every day, Daily Average",1491,994,2236
"258","0 Muthithi Rd","306","Mandela Gate","1/1/2018 - 1/31/2018, Every day, Daily Average",1611,1088,2384
"258","0 Muthithi Rd","308","500 Kwarara Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2749,1769,4269
"258","0 Muthithi Rd","309","Unnamed Road","1/1/2018 - 1/31/2018, Every day, Daily Average",1410,891,2229
"258","0 Muthithi Rd","311","Kangundo Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",3004,1983,4548
"258","0 Muthithi Rd","312","100 Kamiti Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1167,730,1863
"258","0 Muthithi Rd","313","Mumwe Drive","1/1/2018 - 1/31/2018, Every day, Daily Average",1682,1185,2387
"258","0 Muthithi Rd","314","Mutarakwa Limuru Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2556,1995,3273
"258","0 Muthithi Rd","316","Prestige Apartments","1/1/2018 - 1/31/2018, Every day, Daily Average",1730,1089,2747
"258","0 Muthithi Rd","317","Fifth St","1/1/2018 - 1/31/2018, Every day, Daily Average",926,590,1452
"258","0 Muthithi Rd","319","Banana Raini Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2237,1633,3063
"258","0 Muthithi Rd","320","Northern Bypass Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1958,1396,2745
"258","0 Muthithi Rd","321","Fiesta-Bypass Link","1/1/2018 - 1/31/2018, Every day, Daily Average",1649,1122,2422
"258","0 Muthithi Rd","322","Wanyee Cl","1/1/2018 - 1/31/2018, Every day, Daily Average",1851,1151,2975
"258","0 Muthithi Rd","323","Njathaini Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1867,1385,2515
"258","0 Muthithi Rd","324","30700 Naivasha Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1053,657,1685
"258","0 Muthithi Rd","325","Community Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2689,1387,5210
"258","0 Muthithi Rd","327","Moi Dr","1/1/2018 - 1/31/2018, Every day, Daily Average",1819,1163,2844
"258","0 Muthithi Rd","328","Sigona Dr","1/1/2018 - 1/31/2018, Every day, Daily Average",1656,1162,2358
"258","0 Muthithi Rd","329","1800 Mpaka Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",282,121,653
"258","0 Muthithi Rd","330","Kanyariri-Gitaru Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1586,1060,2371
"258","0 Muthithi Rd","332","Unnamed Road","1/1/2018 - 1/31/2018, Every day, Daily Average",2076,1402,3072
"258","0 Muthithi Rd","333","Nyasa Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1282,762,2156
"258","0 Muthithi Rd","334","Southern Bypass","1/1/2018 - 1/31/2018, Every day, Daily Average",1692,910,3143
"258","0 Muthithi Rd","335","Meru - Nairobi Hwy","1/1/2018 - 1/31/2018, Every day, Daily Average",1949,1381,2750
"258","0 Muthithi Rd","336","0 Mbagathi Ridge","1/1/2018 - 1/31/2018, Every day, Daily Average",2993,2093,4279
"258","0 Muthithi Rd","338","Gatundu-Juja Road","1/1/2018 - 1/31/2018, Every day, Daily Average",2203,1566,3098
"258","0 Muthithi Rd","339","Kinanda Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1898,1310,2749
"258","0 Muthithi Rd","340","Meru - Nairobi Hwy","1/1/2018 - 1/31/2018, Every day, Daily Average",1569,1051,2340
"258","0 Muthithi Rd","341","Hillcrest Dr","1/1/2018 - 1/31/2018, Every day, Daily Average",2664,1683,4216
"258","0 Muthithi Rd","343","Karura Munyaka Road","1/1/2018 - 1/31/2018, Every day, Daily Average",3141,2196,4492
"258","0 Muthithi Rd","344","Kibiku Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2500,1530,4083
"258","0 Muthithi Rd","346","Kikuyu - Nderi Road","1/1/2018 - 1/31/2018, Every day, Daily Average",1809,1218,2684
"258","0 Muthithi Rd","347","Ghana Cl","1/1/2018 - 1/31/2018, Every day, Daily Average",1345,899,2011
"258","0 Muthithi Rd","348","Unnamed Road","1/1/2018 - 1/31/2018, Every day, Daily Average",2626,1884,3659
"258","0 Muthithi Rd","349","Unnamed Road","1/1/2018 - 1/31/2018, Every day, Daily Average",2338,1573,3474
"258","0 Muthithi Rd","350","Eldoret-Malaba Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2168,1676,2804
"258","0 Muthithi Rd","351","Airport N Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1543,835,2849
"258","0 Muthithi Rd","353","Gitaru Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2270,1588,3243
"258","0 Muthithi Rd","354","Kahawa Flyover","1/1/2018 - 1/31/2018, Every day, Daily Average",1269,840,1916
"258","0 Muthithi Rd","355","Kapenguria","1/1/2018 - 1/31/2018, Every day, Daily Average",1346,990,1828
"258","0 Muthithi Rd","357","Unnamed Road","1/1/2018 - 1/31/2018, Every day, Daily Average",3112,1998,4844
"258","0 Muthithi Rd","358","Baba Dogo Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1393,839,2310
"258","0 Muthithi Rd","359","Masai W Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2951,1975,4407
"258","0 Muthithi Rd","360","Mbagathi Ridge","1/1/2018 - 1/31/2018, Every day, Daily Average",3026,2057,4451
